[03-Jun-2025 20:03:04 Europe/Kyiv] Request: GET / from ::1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
[03-Jun-2025 20:03:04 Europe/Kyiv] Request completed in 457.24ms, memory: 2MB
[03-Jun-2025 20:03:08 Europe/Kyiv] Request: GET /surveys/my from ::1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
[03-Jun-2025 20:03:08 Europe/Kyiv] Request completed in 194.59ms, memory: 2MB
[03-Jun-2025 20:03:22 Europe/Kyiv] Request: GET /admin from ::1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
[03-Jun-2025 20:03:22 Europe/Kyiv] Request completed in 67.56ms, memory: 2MB
[03-Jun-2025 20:03:25 Europe/Kyiv] Request: GET /surveys from ::1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
[03-Jun-2025 20:03:25 Europe/Kyiv] Request completed in 32.28ms, memory: 2MB
[03-Jun-2025 20:03:28 Europe/Kyiv] Request: GET /admin/surveys from ::1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
[03-Jun-2025 20:03:28 Europe/Kyiv] Request completed in 63.84ms, memory: 2MB
[03-Jun-2025 20:03:32 Europe/Kyiv] Request: POST /admin/delete-survey from ::1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
[03-Jun-2025 20:03:32 Europe/Kyiv] Request completed in 22.37ms, memory: 2MB
[03-Jun-2025 20:12:10 Europe/Kyiv] Request: GET /admin/surveys from ::1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
[03-Jun-2025 20:12:10 Europe/Kyiv] Request completed in 40.87ms, memory: 2MB
[03-Jun-2025 20:12:13 Europe/Kyiv] Request: POST /admin/toggle-survey-status from ::1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
[03-Jun-2025 20:12:13 Europe/Kyiv] Request completed in 68.98ms, memory: 2MB
[03-Jun-2025 20:12:14 Europe/Kyiv] Request: GET /admin/surveys from ::1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
[03-Jun-2025 20:12:14 Europe/Kyiv] Request completed in 39.34ms, memory: 2MB
[03-Jun-2025 20:12:18 Europe/Kyiv] Request: POST /admin/delete-survey from ::1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
[03-Jun-2025 20:12:18 Europe/Kyiv] Request completed in 85.91ms, memory: 2MB
[03-Jun-2025 20:12:19 Europe/Kyiv] Request: GET /admin/surveys from ::1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
[03-Jun-2025 20:12:19 Europe/Kyiv] Request completed in 54.87ms, memory: 2MB
[03-Jun-2025 20:12:27 Europe/Kyiv] Request: POST /admin/delete-survey from ::1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
[03-Jun-2025 20:12:27 Europe/Kyiv] Request completed in 32.85ms, memory: 2MB
[03-Jun-2025 20:12:28 Europe/Kyiv] Request: GET /admin/surveys from ::1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
[03-Jun-2025 20:12:28 Europe/Kyiv] Request completed in 18.35ms, memory: 2MB
[03-Jun-2025 20:12:31 Europe/Kyiv] Request: POST /admin/toggle-survey-status from ::1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
[03-Jun-2025 20:12:31 Europe/Kyiv] Request completed in 30.01ms, memory: 2MB
[03-Jun-2025 20:12:32 Europe/Kyiv] Request: GET /admin/surveys from ::1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
[03-Jun-2025 20:12:32 Europe/Kyiv] Request completed in 20.54ms, memory: 2MB
[03-Jun-2025 20:12:33 Europe/Kyiv] Request: GET /admin/survey-stats?id=6 from ::1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
[03-Jun-2025 20:12:34 Europe/Kyiv] Request completed in 186.12ms, memory: 2MB
[03-Jun-2025 20:12:41 Europe/Kyiv] Request: GET /admin/export-stats?survey_id=6&type=xlsx from ::1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
[03-Jun-2025 20:12:53 Europe/Kyiv] Request: GET /admin/surveys from ::1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
[03-Jun-2025 20:12:53 Europe/Kyiv] Request completed in 22.23ms, memory: 2MB
[03-Jun-2025 20:12:59 Europe/Kyiv] Request: GET /admin/survey-stats?id=3 from ::1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
[03-Jun-2025 20:12:59 Europe/Kyiv] Request completed in 85.77ms, memory: 2MB
[03-Jun-2025 20:13:01 Europe/Kyiv] Request: GET /admin/export-stats?survey_id=3&type=xlsx from ::1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
